土地區段位置或建物區門牌,lng,lat,cluster
臺北市大安區仁愛路三段61號,121.5377,25.03818,3
臺北市大安區忠孝東路三段217巷2弄1號,121.5398,25.0424,3
臺北市大安區復興南路一段279巷1號,121.5456,25.03565,3
臺北市松山區興安街211號,121.5448,25.0561,3
臺北市大安區麗水街7巷1號,121.5288,25.03099,3
臺北市大安區仁愛路四段266巷15弄1號,121.544,25.0383,3
臺北市大安區建國南路二段151巷1號,121.5384,25.02865,1
臺北市信義區忠孝東路五段236巷45弄1號,121.5721,25.03768,3
臺北市中山區興安街31號,121.5386,25.05617,3
臺北市中正區汀州路三段91號,121.5289,25.01752,1
臺北市信義區林口街1號,121.579,25.03648,1
臺北市士林區美崙街1號,121.5238,25.09719,1
臺北市信義區永吉路30巷158弄1號,121.5686,25.04247,3
臺北市中山區合江街121號,121.5394,25.0606,3
臺北市大安區敦化南路一段211號,121.5491,25.0416,3
臺北市信義區仁愛路四段421號,121.5578,25.03758,3
臺北市文山區木柵路一段288巷1號,121.5425,24.98849,1
臺北市大同區酒泉街121號,121.5148,25.07211,4
臺北市信義區信義路六段91號,121.5776,25.03599,1
臺北市大安區忠孝東路四段216巷33弄1號,121.5532,25.03949,3
臺北市大安區建國南路二段181號,121.5381,25.02779,1
臺北市大安區仁愛路三段121號,121.5419,25.0383,3
臺北市信義區永吉路30巷157弄1號,121.5689,25.04242,3
臺北市信義區基隆路一段147巷5弄1號,121.566,25.04261,1
臺北市大同區承德路二段121號,121.5184,25.05694,3
臺北市中正區信義路一段1號,121.5193,25.03823,1
臺北市中山區興安街91號,121.5432,25.05622,3
臺北市信義區忠孝東路五段71巷31號,121.5674,25.04281,3
臺北市信義區信義路五段91巷15弄1號,121.5708,25.03383,1
臺北市信義區基隆路一段190巷1號,121.5644,25.04208,1
臺北市士林區福華路157巷1號,121.522,25.10366,1
臺北市信義區基隆路一段37巷1號,121.5688,25.04706,4
臺北市士林區德行東路61巷1號,121.5382,25.11021,2
臺北市大安區通化街91號,121.5543,25.02985,3
臺北市內湖區成功路三段174巷1號,121.5907,25.08092,4
臺北市松山區敦化北路4巷31號,121.5453,25.05009,3
臺北市信義區松智路1號,121.5662,25.03862,3
臺北市松山區南京東路五段291巷34弄1號,121.5654,25.05307,3
臺北市士林區承德路七段164巷1號,121.5087,25.11334,2
臺北市南港區興華路61號,121.6061,25.05511,4
臺北市士林區中山北路六段421號,121.5268,25.11364,1
臺北市中山區錦州街211號,121.532,25.06042,3
臺北市中正區臨沂街61巷1號,121.5291,25.03701,3
臺北市信義區信義路五段150巷421號,121.5715,25.02553,2
臺北市中山區明水路451號,121.5502,25.07758,2
臺北市松山區民生東路五段36巷4弄1號,121.5572,25.0578,1
臺北市中山區中原街91號,121.529,25.05966,3
臺北市信義區光復南路443巷1號,121.5579,25.03562,3
臺北市大安區光復南路301號,121.5576,25.03938,3
臺北市大安區信義路三段147巷11弄1號,121.5421,25.03486,3
臺北市信義區信義路五段91巷12弄1號,121.5708,25.03383,1
臺北市信義區松隆路31號,121.5677,25.04408,3
臺北市松山區三民路121號,121.5633,25.05818,1
臺北市大安區仁愛路四段222巷1號,121.544,25.0383,3
臺北市大安區四維路91號,121.5481,25.03251,3
臺北市中正區金山南路一段31號,121.5292,25.03995,3
臺北市南港區經貿二路235巷31號,121.616,25.06152,2
臺北市信義區松信路121號,121.5722,25.04437,4
臺北市松山區民生東路五段1號,121.5557,25.05854,1
臺北市大安區泰順街26巷1號,121.5313,25.02511,1
臺北市北投區中央北路二段320巷2弄1號,121.4898,25.13884,2
臺北市大同區承德路二段37巷1號,121.5185,25.05501,3
臺北市中山區龍江路271號,121.5408,25.05955,3
臺北市信義區仁愛路四段421號,121.558,25.03757,3
臺北市文山區興隆路三段152巷1號,121.5582,24.99841,1
臺北市中山區中原街1號,121.5289,25.05517,3
臺北市信義區仁愛路四段391號,121.5566,25.03751,3
臺北市中山區松江路391號,121.5335,25.06506,3
臺北市內湖區內湖路二段179巷75弄1號,121.5835,25.08516,2
臺北市信義區松信路31號,121.5722,25.04827,4
臺北市大安區新生南路二段31號,121.5338,25.02994,3
臺北市大安區敦化南路一段161巷69弄1號,121.5495,25.0436,3
臺北市松山區復興北路361巷1號,121.5445,25.04798,3
